userId	geneSymbol	geneName	entrezgene	gLink
FRMD1	FRMD1	FERM domain containing 1	79981	https://www.ncbi.nlm.nih.gov/gene/?term=79981
SMPX	SMPX	small muscle protein X-linked	23676	https://www.ncbi.nlm.nih.gov/gene/?term=23676
HSD17B2	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	3294	https://www.ncbi.nlm.nih.gov/gene/?term=3294
SLC13A2	SLC13A2	solute carrier family 13 member 2	9058	https://www.ncbi.nlm.nih.gov/gene/?term=9058
HNF4A	HNF4A	hepatocyte nuclear factor 4 alpha	3172	https://www.ncbi.nlm.nih.gov/gene/?term=3172
SLC5A7	SLC5A7	solute carrier family 5 member 7	60482	https://www.ncbi.nlm.nih.gov/gene/?term=60482
UNC93A	UNC93A	unc-93 homolog A	54346	https://www.ncbi.nlm.nih.gov/gene/?term=54346
GDA	GDA	guanine deaminase	9615	https://www.ncbi.nlm.nih.gov/gene/?term=9615
SERPINA6	SERPINA6	serpin family A member 6	866	https://www.ncbi.nlm.nih.gov/gene/?term=866
TNNT2	TNNT2	troponin T2, cardiac type	7139	https://www.ncbi.nlm.nih.gov/gene/?term=7139
SLC6A2	SLC6A2	solute carrier family 6 member 2	6530	https://www.ncbi.nlm.nih.gov/gene/?term=6530
PLA2G4E	PLA2G4E	phospholipase A2 group IVE	123745	https://www.ncbi.nlm.nih.gov/gene/?term=123745
CYP2C18	CYP2C18	cytochrome P450 family 2 subfamily C member 18	1562	https://www.ncbi.nlm.nih.gov/gene/?term=1562
ANKRD30A	ANKRD30A	ankyrin repeat domain 30A	91074	https://www.ncbi.nlm.nih.gov/gene/?term=91074
UGT2B4	UGT2B4	UDP glucuronosyltransferase family 2 member B4	7363	https://www.ncbi.nlm.nih.gov/gene/?term=7363
GSTA1	GSTA1	glutathione S-transferase alpha 1	2938	https://www.ncbi.nlm.nih.gov/gene/?term=2938
PRODH2	PRODH2	proline dehydrogenase 2	58510	https://www.ncbi.nlm.nih.gov/gene/?term=58510
LYPD6B	LYPD6B	LY6/PLAUR domain containing 6B	130576	https://www.ncbi.nlm.nih.gov/gene/?term=130576
GSTA2	GSTA2	glutathione S-transferase alpha 2	2939	https://www.ncbi.nlm.nih.gov/gene/?term=2939
DLK1	DLK1	delta like non-canonical Notch ligand 1	8788	https://www.ncbi.nlm.nih.gov/gene/?term=8788
TRHDE	TRHDE	thyrotropin releasing hormone degrading enzyme	29953	https://www.ncbi.nlm.nih.gov/gene/?term=29953
TAC1	TAC1	tachykinin precursor 1	6863	https://www.ncbi.nlm.nih.gov/gene/?term=6863
LPA	LPA	lipoprotein(a)	4018	https://www.ncbi.nlm.nih.gov/gene/?term=4018
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633	https://www.ncbi.nlm.nih.gov/gene/?term=388633
SULT2A1	SULT2A1	sulfotransferase family 2A member 1	6822	https://www.ncbi.nlm.nih.gov/gene/?term=6822
DDC	DDC	dopa decarboxylase	1644	https://www.ncbi.nlm.nih.gov/gene/?term=1644
SPRR2F	SPRR2F	small proline rich protein 2F	6705	https://www.ncbi.nlm.nih.gov/gene/?term=6705
SIM1	SIM1	SIM bHLH transcription factor 1	6492	https://www.ncbi.nlm.nih.gov/gene/?term=6492
FGA	FGA	fibrinogen alpha chain	2243	https://www.ncbi.nlm.nih.gov/gene/?term=2243
TFF1	TFF1	trefoil factor 1	7031	https://www.ncbi.nlm.nih.gov/gene/?term=7031
SAA4	SAA4	serum amyloid A4, constitutive	6291	https://www.ncbi.nlm.nih.gov/gene/?term=6291
KCNB2	KCNB2	potassium voltage-gated channel subfamily B member 2	9312	https://www.ncbi.nlm.nih.gov/gene/?term=9312
UGT3A1	UGT3A1	UDP glycosyltransferase family 3 member A1	133688	https://www.ncbi.nlm.nih.gov/gene/?term=133688
EMX1	EMX1	empty spiracles homeobox 1	2016	https://www.ncbi.nlm.nih.gov/gene/?term=2016
ABCG8	ABCG8	ATP binding cassette subfamily G member 8	64241	https://www.ncbi.nlm.nih.gov/gene/?term=64241
FGG	FGG	fibrinogen gamma chain	2266	https://www.ncbi.nlm.nih.gov/gene/?term=2266
CYP2C19	CYP2C19	cytochrome P450 family 2 subfamily C member 19	1557	https://www.ncbi.nlm.nih.gov/gene/?term=1557
HSPB3	HSPB3	heat shock protein family B (small) member 3	8988	https://www.ncbi.nlm.nih.gov/gene/?term=8988
PLA2G4D	PLA2G4D	phospholipase A2 group IVD	283748	https://www.ncbi.nlm.nih.gov/gene/?term=283748
SERPINB7	SERPINB7	serpin family B member 7	8710	https://www.ncbi.nlm.nih.gov/gene/?term=8710
AMTN	AMTN	amelotin	401138	https://www.ncbi.nlm.nih.gov/gene/?term=401138
NRK	NRK	Nik related kinase	203447	https://www.ncbi.nlm.nih.gov/gene/?term=203447
PSAPL1	PSAPL1	prosaposin like 1 (gene/pseudogene)	768239	https://www.ncbi.nlm.nih.gov/gene/?term=768239
CBLC	CBLC	Cbl proto-oncogene C	23624	https://www.ncbi.nlm.nih.gov/gene/?term=23624
CYP3A7	CYP3A7	cytochrome P450 family 3 subfamily A member 7	1551	https://www.ncbi.nlm.nih.gov/gene/?term=1551
SULT1E1	SULT1E1	sulfotransferase family 1E member 1	6783	https://www.ncbi.nlm.nih.gov/gene/?term=6783
OPRK1	OPRK1	opioid receptor kappa 1	4986	https://www.ncbi.nlm.nih.gov/gene/?term=4986
ASPG	ASPG	asparaginase	374569	https://www.ncbi.nlm.nih.gov/gene/?term=374569
TRIM15	TRIM15	tripartite motif containing 15	89870	https://www.ncbi.nlm.nih.gov/gene/?term=89870
KRT20	KRT20	keratin 20	54474	https://www.ncbi.nlm.nih.gov/gene/?term=54474
CYP4A11	CYP4A11	cytochrome P450 family 4 subfamily A member 11	1579	https://www.ncbi.nlm.nih.gov/gene/?term=1579
KRT9	KRT9	keratin 9	3857	https://www.ncbi.nlm.nih.gov/gene/?term=3857
FAM25A	FAM25A	family with sequence similarity 25 member A	643161	https://www.ncbi.nlm.nih.gov/gene/?term=643161
TAC3	TAC3	tachykinin 3	6866	https://www.ncbi.nlm.nih.gov/gene/?term=6866
SPRR1A	SPRR1A	small proline rich protein 1A	6698	https://www.ncbi.nlm.nih.gov/gene/?term=6698
SPRR2G	SPRR2G	small proline rich protein 2G	6706	https://www.ncbi.nlm.nih.gov/gene/?term=6706
ANKS4B	ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B	257629	https://www.ncbi.nlm.nih.gov/gene/?term=257629
CYP4Z1	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	199974	https://www.ncbi.nlm.nih.gov/gene/?term=199974
RBM24	RBM24	RNA binding motif protein 24	221662	https://www.ncbi.nlm.nih.gov/gene/?term=221662
AADAC	AADAC	arylacetamide deacetylase	13	https://www.ncbi.nlm.nih.gov/gene/?term=13
C20orf85	C20orf85	chromosome 20 open reading frame 85	128602	https://www.ncbi.nlm.nih.gov/gene/?term=128602
ZNF385B	ZNF385B	zinc finger protein 385B	151126	https://www.ncbi.nlm.nih.gov/gene/?term=151126
CCL11	CCL11	C-C motif chemokine ligand 11	6356	https://www.ncbi.nlm.nih.gov/gene/?term=6356
CALML3	CALML3	calmodulin like 3	810	https://www.ncbi.nlm.nih.gov/gene/?term=810
ACSM2B	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	https://www.ncbi.nlm.nih.gov/gene/?term=348158
BMP5	BMP5	bone morphogenetic protein 5	653	https://www.ncbi.nlm.nih.gov/gene/?term=653
LY6D	LY6D	lymphocyte antigen 6 family member D	8581	https://www.ncbi.nlm.nih.gov/gene/?term=8581
UGT1A9	UGT1A9	UDP glucuronosyltransferase family 1 member A9	54600	https://www.ncbi.nlm.nih.gov/gene/?term=54600
MUCL1	MUCL1	mucin like 1	118430	https://www.ncbi.nlm.nih.gov/gene/?term=118430
SLC6A19	SLC6A19	solute carrier family 6 member 19	340024	https://www.ncbi.nlm.nih.gov/gene/?term=340024
ADH6	ADH6	alcohol dehydrogenase 6 (class V)	130	https://www.ncbi.nlm.nih.gov/gene/?term=130
TH	TH	tyrosine hydroxylase	7054	https://www.ncbi.nlm.nih.gov/gene/?term=7054
EPN3	EPN3	epsin 3	55040	https://www.ncbi.nlm.nih.gov/gene/?term=55040
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250	https://www.ncbi.nlm.nih.gov/gene/?term=4250
WIF1	WIF1	WNT inhibitory factor 1	11197	https://www.ncbi.nlm.nih.gov/gene/?term=11197
KIF12	KIF12	kinesin family member 12	113220	https://www.ncbi.nlm.nih.gov/gene/?term=113220
VSNL1	VSNL1	visinin like 1	7447	https://www.ncbi.nlm.nih.gov/gene/?term=7447
