userid	genesymbol	genename	entrezgene
CXorf49B	CXorf49B	chromosome X open reading frame 49B	100132994
CLEC3A	CLEC3A	C-type lectin domain family 3 member A	10143
MSLN	MSLN	mesothelin	10232
CSAG2	CSAG2	CSAG family member 2	102723547
CRISP3	CRISP3	cysteine rich secretory protein 3	10321
B3GNT3	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	10331
CCL26	CCL26	C-C motif chemokine ligand 26	10344
CDR1	CDR1	cerebellar degeneration related protein 1	1038
CLDN16	CLDN16	claudin 16	10686
FUT9	FUT9	fucosyltransferase 9	10690
NMU	NMU	neuromedin U	10874
KLK11	KLK11	kallikrein related peptidase 11	11012
KLK8	KLK8	kallikrein related peptidase 8	11202
GALNT5	GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	11227
SLC6A14	SLC6A14	solute carrier family 6 member 14	11254
CYP4F8	CYP4F8	cytochrome P450 family 4 subfamily F member 8	11283
SCRG1	SCRG1	stimulator of chondrogenesis 1	11341
PGLYRP3	PGLYRP3	peptidoglycan recognition protein 3	114771
CSMD2	CSMD2	CUB and Sushi multiple domains 2	114784
CTHRC1	CTHRC1	collagen triple helix repeat containing 1	115908
IL22RA2	IL22RA2	interleukin 22 receptor subunit alpha 2	116379
FAM69C	FAM69C	family with sequence similarity 69 member C	125704
CNTN1	CNTN1	contactin 1	1272
DMBX1	DMBX1	diencephalon/mesencephalon homeobox 1	127343
C20orf85	C20orf85	chromosome 20 open reading frame 85	128602
COL8A1	COL8A1	collagen type VIII alpha 1 chain	1295
COL10A1	COL10A1	collagen type X alpha 1 chain	1300
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301
COMP	COMP	cartilage oligomeric matrix protein	1311
ZPLD1	ZPLD1	zona pellucida like domain containing 1	131368
LRRC15	LRRC15	leucine rich repeat containing 15	131578
CPN2	CPN2	carboxypeptidase N subunit 2	1370
CRHR1	CRHR1	corticotropin releasing hormone receptor 1	1394
MUC15	MUC15	mucin 15, cell surface associated	143662
