userId	geneSymbol	geneName	entrezgene	gLink
ABHD12B	ABHD12B	abhydrolase domain containing 12B	145447	https://www.ncbi.nlm.nih.gov/gene/?term=145447
CYP27C1	CYP27C1	cytochrome P450 family 27 subfamily C member 1	339761	https://www.ncbi.nlm.nih.gov/gene/?term=339761
ELAVL3	ELAVL3	ELAV like RNA binding protein 3	1995	https://www.ncbi.nlm.nih.gov/gene/?term=1995
AQP5	AQP5	aquaporin 5	362	https://www.ncbi.nlm.nih.gov/gene/?term=362
SORCS3	SORCS3	sortilin related VPS10 domain containing receptor 3	22986	https://www.ncbi.nlm.nih.gov/gene/?term=22986
FCER1A	FCER1A	Fc fragment of IgE receptor Ia	2205	https://www.ncbi.nlm.nih.gov/gene/?term=2205
SCGB1A1	SCGB1A1	secretoglobin family 1A member 1	7356	https://www.ncbi.nlm.nih.gov/gene/?term=7356
UPK1A	UPK1A	uroplakin 1A	11045	https://www.ncbi.nlm.nih.gov/gene/?term=11045
KLK14	KLK14	kallikrein related peptidase 14	43847	https://www.ncbi.nlm.nih.gov/gene/?term=43847
SLC4A1	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	6521	https://www.ncbi.nlm.nih.gov/gene/?term=6521
TDRD1	TDRD1	tudor domain containing 1	56165	https://www.ncbi.nlm.nih.gov/gene/?term=56165
CWH43	CWH43	cell wall biogenesis 43 C-terminal homolog	80157	https://www.ncbi.nlm.nih.gov/gene/?term=80157
DSC1	DSC1	desmocollin 1	1823	https://www.ncbi.nlm.nih.gov/gene/?term=1823
VSIG2	VSIG2	V-set and immunoglobulin domain containing 2	23584	https://www.ncbi.nlm.nih.gov/gene/?term=23584
NXPH1	NXPH1	neurexophilin 1	30010	https://www.ncbi.nlm.nih.gov/gene/?term=30010
SLC6A4	SLC6A4	solute carrier family 6 member 4	6532	https://www.ncbi.nlm.nih.gov/gene/?term=6532
GRIA4	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	2893	https://www.ncbi.nlm.nih.gov/gene/?term=2893
TRH	TRH	thyrotropin releasing hormone	7200	https://www.ncbi.nlm.nih.gov/gene/?term=7200
PIRT	PIRT	phosphoinositide interacting regulator of transient receptor potential channels	644139	https://www.ncbi.nlm.nih.gov/gene/?term=644139
TMEM132C	TMEM132C	transmembrane protein 132C	92293	https://www.ncbi.nlm.nih.gov/gene/?term=92293
BMP5	BMP5	bone morphogenetic protein 5	653	https://www.ncbi.nlm.nih.gov/gene/?term=653
