userId	geneSymbol	geneName	entrezgene	gLink
ZNF536	ZNF536	zinc finger protein 536	9745	https://www.ncbi.nlm.nih.gov/gene/?term=9745
PSG4	PSG4	pregnancy specific beta-1-glycoprotein 4	5672	https://www.ncbi.nlm.nih.gov/gene/?term=5672
CHRNA4	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	1137	https://www.ncbi.nlm.nih.gov/gene/?term=1137
SPNS3	SPNS3	sphingolipid transporter 3 (putative)	201305	https://www.ncbi.nlm.nih.gov/gene/?term=201305
ODAM	ODAM	odontogenic, ameloblast associated	54959	https://www.ncbi.nlm.nih.gov/gene/?term=54959
KCNJ4	KCNJ4	potassium voltage-gated channel subfamily J member 4	3761	https://www.ncbi.nlm.nih.gov/gene/?term=3761
MAB21L2	MAB21L2	mab-21 like 2	10586	https://www.ncbi.nlm.nih.gov/gene/?term=10586
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250	https://www.ncbi.nlm.nih.gov/gene/?term=4250
RNASE7	RNASE7	ribonuclease A family member 7	84659	https://www.ncbi.nlm.nih.gov/gene/?term=84659
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
VSTM2A	VSTM2A	V-set and transmembrane domain containing 2A	222008	https://www.ncbi.nlm.nih.gov/gene/?term=222008
FBXO2	FBXO2	F-box protein 2	26232	https://www.ncbi.nlm.nih.gov/gene/?term=26232
SLC22A6	SLC22A6	solute carrier family 22 member 6	9356	https://www.ncbi.nlm.nih.gov/gene/?term=9356
TNR	TNR	tenascin R	7143	https://www.ncbi.nlm.nih.gov/gene/?term=7143
SLURP1	SLURP1	secreted LY6/PLAUR domain containing 1	57152	https://www.ncbi.nlm.nih.gov/gene/?term=57152
IRX1	IRX1	iroquois homeobox 1	79192	https://www.ncbi.nlm.nih.gov/gene/?term=79192
LMTK3	LMTK3	lemur tyrosine kinase 3	114783	https://www.ncbi.nlm.nih.gov/gene/?term=114783
GATA5	GATA5	GATA binding protein 5	140628	https://www.ncbi.nlm.nih.gov/gene/?term=140628
USH1G	USH1G	USH1 protein network component sans	124590	https://www.ncbi.nlm.nih.gov/gene/?term=124590
NKAIN4	NKAIN4	sodium/potassium transporting ATPase interacting 4	128414	https://www.ncbi.nlm.nih.gov/gene/?term=128414
FLJ16779	FLJ16779	uncharacterized LOC100192386	100192386	https://www.ncbi.nlm.nih.gov/gene/?term=100192386
HNF4A	HNF4A	hepatocyte nuclear factor 4 alpha	3172	https://www.ncbi.nlm.nih.gov/gene/?term=3172
SLC6A2	SLC6A2	solute carrier family 6 member 2	6530	https://www.ncbi.nlm.nih.gov/gene/?term=6530
ALPI	ALPI	alkaline phosphatase, intestinal	248	https://www.ncbi.nlm.nih.gov/gene/?term=248
MAG	MAG	myelin associated glycoprotein	4099	https://www.ncbi.nlm.nih.gov/gene/?term=4099
APOC3	APOC3	apolipoprotein C3	345	https://www.ncbi.nlm.nih.gov/gene/?term=345
CASP14	CASP14	caspase 14	23581	https://www.ncbi.nlm.nih.gov/gene/?term=23581
SEZ6L	SEZ6L	seizure related 6 homolog like	23544	https://www.ncbi.nlm.nih.gov/gene/?term=23544
CYP4F2	CYP4F2	cytochrome P450 family 4 subfamily F member 2	8529	https://www.ncbi.nlm.nih.gov/gene/?term=8529
RASGEF1C	RASGEF1C	RasGEF domain family member 1C	255426	https://www.ncbi.nlm.nih.gov/gene/?term=255426
HHATL	HHATL	hedgehog acyltransferase like	57467	https://www.ncbi.nlm.nih.gov/gene/?term=57467
GLTPD2	GLTPD2	glycolipid transfer protein domain containing 2	388323	https://www.ncbi.nlm.nih.gov/gene/?term=388323
F2	F2	coagulation factor II, thrombin	2147	https://www.ncbi.nlm.nih.gov/gene/?term=2147
ANKFN1	ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	162282	https://www.ncbi.nlm.nih.gov/gene/?term=162282
ZFR2	ZFR2	zinc finger RNA binding protein 2	23217	https://www.ncbi.nlm.nih.gov/gene/?term=23217
NRG2	NRG2	neuregulin 2	9542	https://www.ncbi.nlm.nih.gov/gene/?term=9542
ADAMTSL5	ADAMTSL5	ADAMTS like 5	339366	https://www.ncbi.nlm.nih.gov/gene/?term=339366
EPS8L3	EPS8L3	EPS8 like 3	79574	https://www.ncbi.nlm.nih.gov/gene/?term=79574
KNG1	KNG1	kininogen 1	3827	https://www.ncbi.nlm.nih.gov/gene/?term=3827
SLC39A2	SLC39A2	solute carrier family 39 member 2	29986	https://www.ncbi.nlm.nih.gov/gene/?term=29986
CLIC3	CLIC3	chloride intracellular channel 3	9022	https://www.ncbi.nlm.nih.gov/gene/?term=9022
LGALS9B	LGALS9B	galectin 9B	284194	https://www.ncbi.nlm.nih.gov/gene/?term=284194
C11orf86	C11orf86	chromosome 11 open reading frame 86	254439	https://www.ncbi.nlm.nih.gov/gene/?term=254439
TMEM82	TMEM82	transmembrane protein 82	388595	https://www.ncbi.nlm.nih.gov/gene/?term=388595
KCNB1	KCNB1	potassium voltage-gated channel subfamily B member 1	3745	https://www.ncbi.nlm.nih.gov/gene/?term=3745
SCRG1	SCRG1	stimulator of chondrogenesis 1	11341	https://www.ncbi.nlm.nih.gov/gene/?term=11341
HCN2	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	610	https://www.ncbi.nlm.nih.gov/gene/?term=610
SORCS2	SORCS2	sortilin related VPS10 domain containing receptor 2	57537	https://www.ncbi.nlm.nih.gov/gene/?term=57537
CHD5	CHD5	chromodomain helicase DNA binding protein 5	26038	https://www.ncbi.nlm.nih.gov/gene/?term=26038
REG3A	REG3A	regenerating family member 3 alpha	5068	https://www.ncbi.nlm.nih.gov/gene/?term=5068
SLC26A3	SLC26A3	solute carrier family 26 member 3	1811	https://www.ncbi.nlm.nih.gov/gene/?term=1811
SYT3	SYT3	synaptotagmin 3	84258	https://www.ncbi.nlm.nih.gov/gene/?term=84258
CLEC3A	CLEC3A	C-type lectin domain family 3 member A	10143	https://www.ncbi.nlm.nih.gov/gene/?term=10143
SERPINA4	SERPINA4	serpin family A member 4	5267	https://www.ncbi.nlm.nih.gov/gene/?term=5267
PRKCG	PRKCG	protein kinase C gamma	5582	https://www.ncbi.nlm.nih.gov/gene/?term=5582
CDHR2	CDHR2	cadherin related family member 2	54825	https://www.ncbi.nlm.nih.gov/gene/?term=54825
KLK5	KLK5	kallikrein related peptidase 5	25818	https://www.ncbi.nlm.nih.gov/gene/?term=25818
NTSR1	NTSR1	neurotensin receptor 1	4923	https://www.ncbi.nlm.nih.gov/gene/?term=4923
CNTN6	CNTN6	contactin 6	27255	https://www.ncbi.nlm.nih.gov/gene/?term=27255
CDH16	CDH16	cadherin 16	1014	https://www.ncbi.nlm.nih.gov/gene/?term=1014
HS3ST4	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	9951	https://www.ncbi.nlm.nih.gov/gene/?term=9951
LGI3	LGI3	leucine rich repeat LGI family member 3	203190	https://www.ncbi.nlm.nih.gov/gene/?term=203190
FIBCD1	FIBCD1	fibrinogen C domain containing 1	84929	https://www.ncbi.nlm.nih.gov/gene/?term=84929
ELFN2	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794	https://www.ncbi.nlm.nih.gov/gene/?term=114794
GPR12	GPR12	G protein-coupled receptor 12	2835	https://www.ncbi.nlm.nih.gov/gene/?term=2835
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944	https://www.ncbi.nlm.nih.gov/gene/?term=50944
CDH4	CDH4	cadherin 4	1002	https://www.ncbi.nlm.nih.gov/gene/?term=1002
SSX1	SSX1	SSX family member 1	6756	https://www.ncbi.nlm.nih.gov/gene/?term=6756
MOGAT3	MOGAT3	monoacylglycerol O-acyltransferase 3	346606	https://www.ncbi.nlm.nih.gov/gene/?term=346606
SULT2A1	SULT2A1	sulfotransferase family 2A member 1	6822	https://www.ncbi.nlm.nih.gov/gene/?term=6822
RTBDN	RTBDN	retbindin	83546	https://www.ncbi.nlm.nih.gov/gene/?term=83546
EDN3	EDN3	endothelin 3	1908	https://www.ncbi.nlm.nih.gov/gene/?term=1908
MOG	MOG	myelin oligodendrocyte glycoprotein	4340	https://www.ncbi.nlm.nih.gov/gene/?term=4340
FAM25A	FAM25A	family with sequence similarity 25 member A	643161	https://www.ncbi.nlm.nih.gov/gene/?term=643161
EEF1A2	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	1917	https://www.ncbi.nlm.nih.gov/gene/?term=1917
TREH	TREH	trehalase	11181	https://www.ncbi.nlm.nih.gov/gene/?term=11181
TPSG1	TPSG1	tryptase gamma 1	25823	https://www.ncbi.nlm.nih.gov/gene/?term=25823
TH	TH	tyrosine hydroxylase	7054	https://www.ncbi.nlm.nih.gov/gene/?term=7054
LHX1	LHX1	LIM homeobox 1	3975	https://www.ncbi.nlm.nih.gov/gene/?term=3975
KNDC1	KNDC1	kinase non-catalytic C-lobe domain containing 1	85442	https://www.ncbi.nlm.nih.gov/gene/?term=85442
GALNT9	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9	50614	https://www.ncbi.nlm.nih.gov/gene/?term=50614
EFNA2	EFNA2	ephrin A2	1943	https://www.ncbi.nlm.nih.gov/gene/?term=1943
KCNQ2	KCNQ2	potassium voltage-gated channel subfamily Q member 2	3785	https://www.ncbi.nlm.nih.gov/gene/?term=3785
CACNG7	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	59284	https://www.ncbi.nlm.nih.gov/gene/?term=59284
SSTR5	SSTR5	somatostatin receptor 5	6755	https://www.ncbi.nlm.nih.gov/gene/?term=6755
LOC100130238	LOC100130238	uncharacterized LOC100130238	100130238	https://www.ncbi.nlm.nih.gov/gene/?term=100130238
