userId	geneSymbol	geneName	entrezgene	gLink
SALL3	SALL3	spalt like transcription factor 3	27164	https://www.ncbi.nlm.nih.gov/gene/?term=27164
VWC2	VWC2	von Willebrand factor C domain containing 2	375567	https://www.ncbi.nlm.nih.gov/gene/?term=375567
FXYD4	FXYD4	FXYD domain containing ion transport regulator 4	53828	https://www.ncbi.nlm.nih.gov/gene/?term=53828
NKX2-1	NKX2-1	NK2 homeobox 1	7080	https://www.ncbi.nlm.nih.gov/gene/?term=7080
SFTA3	SFTA3	surfactant associated 3	253970	https://www.ncbi.nlm.nih.gov/gene/?term=253970
USH1C	USH1C	USH1 protein network component harmonin	10083	https://www.ncbi.nlm.nih.gov/gene/?term=10083
KCTD8	KCTD8	potassium channel tetramerization domain containing 8	386617	https://www.ncbi.nlm.nih.gov/gene/?term=386617
B3GNT6	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	192134	https://www.ncbi.nlm.nih.gov/gene/?term=192134
SLC6A19	SLC6A19	solute carrier family 6 member 19	340024	https://www.ncbi.nlm.nih.gov/gene/?term=340024
CCDC60	CCDC60	coiled-coil domain containing 60	160777	https://www.ncbi.nlm.nih.gov/gene/?term=160777
FEZF1	FEZF1	FEZ family zinc finger 1	389549	https://www.ncbi.nlm.nih.gov/gene/?term=389549
MUC17	MUC17	mucin 17, cell surface associated	140453	https://www.ncbi.nlm.nih.gov/gene/?term=140453
REG1A	REG1A	regenerating family member 1 alpha	5967	https://www.ncbi.nlm.nih.gov/gene/?term=5967
MORN5	MORN5	MORN repeat containing 5	254956	https://www.ncbi.nlm.nih.gov/gene/?term=254956
UGT1A10	UGT1A10	UDP glucuronosyltransferase family 1 member A10	54575	https://www.ncbi.nlm.nih.gov/gene/?term=54575
SPRR2C	SPRR2C	small proline rich protein 2C (pseudogene)	6702	https://www.ncbi.nlm.nih.gov/gene/?term=6702
SP8	SP8	Sp8 transcription factor	221833	https://www.ncbi.nlm.nih.gov/gene/?term=221833
TMEFF2	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	23671	https://www.ncbi.nlm.nih.gov/gene/?term=23671
SLC22A6	SLC22A6	solute carrier family 22 member 6	9356	https://www.ncbi.nlm.nih.gov/gene/?term=9356
ASB5	ASB5	ankyrin repeat and SOCS box containing 5	140458	https://www.ncbi.nlm.nih.gov/gene/?term=140458
HSPB3	HSPB3	heat shock protein family B (small) member 3	8988	https://www.ncbi.nlm.nih.gov/gene/?term=8988
PRKCG	PRKCG	protein kinase C gamma	5582	https://www.ncbi.nlm.nih.gov/gene/?term=5582
ARX	ARX	aristaless related homeobox	170302	https://www.ncbi.nlm.nih.gov/gene/?term=170302
MUC2	MUC2	mucin 2, oligomeric mucus/gel-forming	4583	https://www.ncbi.nlm.nih.gov/gene/?term=4583
CCK	CCK	cholecystokinin	885	https://www.ncbi.nlm.nih.gov/gene/?term=885
SFTPA1	SFTPA1	surfactant protein A1	653509	https://www.ncbi.nlm.nih.gov/gene/?term=653509
GAL3ST3	GAL3ST3	galactose-3-O-sulfotransferase 3	89792	https://www.ncbi.nlm.nih.gov/gene/?term=89792
LIX1	LIX1	limb and CNS expressed 1	167410	https://www.ncbi.nlm.nih.gov/gene/?term=167410
TRPM5	TRPM5	transient receptor potential cation channel subfamily M member 5	29850	https://www.ncbi.nlm.nih.gov/gene/?term=29850
LOC100130238	LOC100130238	uncharacterized LOC100130238	100130238	https://www.ncbi.nlm.nih.gov/gene/?term=100130238
KCNV1	KCNV1	potassium voltage-gated channel modifier subfamily V member 1	27012	https://www.ncbi.nlm.nih.gov/gene/?term=27012
HNF1B	HNF1B	HNF1 homeobox B	6928	https://www.ncbi.nlm.nih.gov/gene/?term=6928
CELF3	CELF3	CUGBP Elav-like family member 3	11189	https://www.ncbi.nlm.nih.gov/gene/?term=11189
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
LOC440173	LOC440173	uncharacterized LOC440173	440173	https://www.ncbi.nlm.nih.gov/gene/?term=440173
SLC18A3	SLC18A3	solute carrier family 18 member A3	6572	https://www.ncbi.nlm.nih.gov/gene/?term=6572
KRT20	KRT20	keratin 20	54474	https://www.ncbi.nlm.nih.gov/gene/?term=54474
FOXG1	FOXG1	forkhead box G1	2290	https://www.ncbi.nlm.nih.gov/gene/?term=2290
P2RX2	P2RX2	purinergic receptor P2X 2	22953	https://www.ncbi.nlm.nih.gov/gene/?term=22953
PVALB	PVALB	parvalbumin	5816	https://www.ncbi.nlm.nih.gov/gene/?term=5816
SLC6A3	SLC6A3	solute carrier family 6 member 3	6531	https://www.ncbi.nlm.nih.gov/gene/?term=6531
SI	SI	sucrase-isomaltase	6476	https://www.ncbi.nlm.nih.gov/gene/?term=6476
MAEL	MAEL	maelstrom spermatogenic transposon silencer	84944	https://www.ncbi.nlm.nih.gov/gene/?term=84944
CASR	CASR	calcium sensing receptor	846	https://www.ncbi.nlm.nih.gov/gene/?term=846
PCP4	PCP4	Purkinje cell protein 4	5121	https://www.ncbi.nlm.nih.gov/gene/?term=5121
BTBD17	BTBD17	BTB domain containing 17	388419	https://www.ncbi.nlm.nih.gov/gene/?term=388419
