userId	geneSymbol	geneName	entrezgene	gLink
CASP14	CASP14	caspase 14	23581	https://www.ncbi.nlm.nih.gov/gene/?term=23581
C6orf15	C6orf15	chromosome 6 open reading frame 15	29113	https://www.ncbi.nlm.nih.gov/gene/?term=29113
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250	https://www.ncbi.nlm.nih.gov/gene/?term=4250
CYP4F8	CYP4F8	cytochrome P450 family 4 subfamily F member 8	11283	https://www.ncbi.nlm.nih.gov/gene/?term=11283
FAM25A	FAM25A	family with sequence similarity 25 member A	643161	https://www.ncbi.nlm.nih.gov/gene/?term=643161
KLK9	KLK9	kallikrein related peptidase 9	284366	https://www.ncbi.nlm.nih.gov/gene/?term=284366
MOGAT2	MOGAT2	monoacylglycerol O-acyltransferase 2	80168	https://www.ncbi.nlm.nih.gov/gene/?term=80168
ANKRD30A	ANKRD30A	ankyrin repeat domain 30A	91074	https://www.ncbi.nlm.nih.gov/gene/?term=91074
EPYC	EPYC	epiphycan	1833	https://www.ncbi.nlm.nih.gov/gene/?term=1833
GRP	GRP	gastrin releasing peptide	2922	https://www.ncbi.nlm.nih.gov/gene/?term=2922
MMP13	MMP13	matrix metallopeptidase 13	4322	https://www.ncbi.nlm.nih.gov/gene/?term=4322
SLC24A2	SLC24A2	solute carrier family 24 member 2	25769	https://www.ncbi.nlm.nih.gov/gene/?term=25769
LCE3D	LCE3D	late cornified envelope 3D	84648	https://www.ncbi.nlm.nih.gov/gene/?term=84648
SLURP1	SLURP1	secreted LY6/PLAUR domain containing 1	57152	https://www.ncbi.nlm.nih.gov/gene/?term=57152
KLK5	KLK5	kallikrein related peptidase 5	25818	https://www.ncbi.nlm.nih.gov/gene/?term=25818
CRCT1	CRCT1	cysteine rich C-terminal 1	54544	https://www.ncbi.nlm.nih.gov/gene/?term=54544
MAGEA4	MAGEA4	MAGE family member A4	4103	https://www.ncbi.nlm.nih.gov/gene/?term=4103
CSAG2	CSAG2	CSAG family member 2	102723547	https://www.ncbi.nlm.nih.gov/gene/?term=102723547
S100A7A	S100A7A	S100 calcium binding protein A7A	338324	https://www.ncbi.nlm.nih.gov/gene/?term=338324
SI	SI	sucrase-isomaltase	6476	https://www.ncbi.nlm.nih.gov/gene/?term=6476
MAGEA11	MAGEA11	MAGE family member A11	4110	https://www.ncbi.nlm.nih.gov/gene/?term=4110
KRT75	KRT75	keratin 75	9119	https://www.ncbi.nlm.nih.gov/gene/?term=9119
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336	https://www.ncbi.nlm.nih.gov/gene/?term=389336
CALML5	CALML5	calmodulin like 5	51806	https://www.ncbi.nlm.nih.gov/gene/?term=51806
PIP	PIP	prolactin induced protein	5304	https://www.ncbi.nlm.nih.gov/gene/?term=5304
SERPINB7	SERPINB7	serpin family B member 7	8710	https://www.ncbi.nlm.nih.gov/gene/?term=8710
PGLYRP3	PGLYRP3	peptidoglycan recognition protein 3	114771	https://www.ncbi.nlm.nih.gov/gene/?term=114771
MUCL1	MUCL1	mucin like 1	118430	https://www.ncbi.nlm.nih.gov/gene/?term=118430
MAGEA9B	MAGEA9B	MAGE family member A9B	728269	https://www.ncbi.nlm.nih.gov/gene/?term=728269
LRRC15	LRRC15	leucine rich repeat containing 15	131578	https://www.ncbi.nlm.nih.gov/gene/?term=131578
AGR3	AGR3	anterior gradient 3, protein disulphide isomerase family member	155465	https://www.ncbi.nlm.nih.gov/gene/?term=155465
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301	https://www.ncbi.nlm.nih.gov/gene/?term=1301
KLK12	KLK12	kallikrein related peptidase 12	43849	https://www.ncbi.nlm.nih.gov/gene/?term=43849
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600	https://www.ncbi.nlm.nih.gov/gene/?term=64600
MMP3	MMP3	matrix metallopeptidase 3	4314	https://www.ncbi.nlm.nih.gov/gene/?term=4314
C20orf85	C20orf85	chromosome 20 open reading frame 85	128602	https://www.ncbi.nlm.nih.gov/gene/?term=128602
TINAG	TINAG	tubulointerstitial nephritis antigen	27283	https://www.ncbi.nlm.nih.gov/gene/?term=27283
KLK6	KLK6	kallikrein related peptidase 6	5653	https://www.ncbi.nlm.nih.gov/gene/?term=5653
PHGR1	PHGR1	proline, histidine and glycine rich 1	644844	https://www.ncbi.nlm.nih.gov/gene/?term=644844
MUC2	MUC2	mucin 2, oligomeric mucus/gel-forming	4583	https://www.ncbi.nlm.nih.gov/gene/?term=4583
PAEP	PAEP	progestagen associated endometrial protein	5047	https://www.ncbi.nlm.nih.gov/gene/?term=5047
IBSP	IBSP	integrin binding sialoprotein	3381	https://www.ncbi.nlm.nih.gov/gene/?term=3381
IGFL2	IGFL2	IGF like family member 2	147920	https://www.ncbi.nlm.nih.gov/gene/?term=147920
KPNA7	KPNA7	karyopherin subunit alpha 7	402569	https://www.ncbi.nlm.nih.gov/gene/?term=402569
CST4	CST4	cystatin S	1472	https://www.ncbi.nlm.nih.gov/gene/?term=1472
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633	https://www.ncbi.nlm.nih.gov/gene/?term=388633
KLK8	KLK8	kallikrein related peptidase 8	11202	https://www.ncbi.nlm.nih.gov/gene/?term=11202
MMP10	MMP10	matrix metallopeptidase 10	4319	https://www.ncbi.nlm.nih.gov/gene/?term=4319
SMYD1	SMYD1	SET and MYND domain containing 1	150572	https://www.ncbi.nlm.nih.gov/gene/?term=150572
SFTA3	SFTA3	surfactant associated 3	253970	https://www.ncbi.nlm.nih.gov/gene/?term=253970
C10orf99	C10orf99	chromosome 10 open reading frame 99	387695	https://www.ncbi.nlm.nih.gov/gene/?term=387695
ZIC5	ZIC5	Zic family member 5	85416	https://www.ncbi.nlm.nih.gov/gene/?term=85416
MAGEC2	MAGEC2	MAGE family member C2	51438	https://www.ncbi.nlm.nih.gov/gene/?term=51438
MAGEA2	MAGEA2	MAGE family member A2	4101	https://www.ncbi.nlm.nih.gov/gene/?term=4101
CHRNA1	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	1134	https://www.ncbi.nlm.nih.gov/gene/?term=1134
COL10A1	COL10A1	collagen type X alpha 1 chain	1300	https://www.ncbi.nlm.nih.gov/gene/?term=1300
