userId	geneSymbol	geneName	entrezgene	gLink
SNORD116-4	SNORD116-4	small nucleolar RNA, C/D box 116-4	100033416	https://www.ncbi.nlm.nih.gov/gene/?term=100033416
CDKL5	CDKL5	cyclin dependent kinase like 5	6792	https://www.ncbi.nlm.nih.gov/gene/?term=6792
NFATC2	NFATC2	nuclear factor of activated T cells 2	4773	https://www.ncbi.nlm.nih.gov/gene/?term=4773
KIAA0754	KIAA0754	KIAA0754	643314	https://www.ncbi.nlm.nih.gov/gene/?term=643314
PARD3B	PARD3B	par-3 family cell polarity regulator beta	117583	https://www.ncbi.nlm.nih.gov/gene/?term=117583
SERINC5	SERINC5	serine incorporator 5	256987	https://www.ncbi.nlm.nih.gov/gene/?term=256987
GAS2L3	GAS2L3	growth arrest specific 2 like 3	283431	https://www.ncbi.nlm.nih.gov/gene/?term=283431
SNURF	SNURF	SNRPN upstream reading frame	8926	https://www.ncbi.nlm.nih.gov/gene/?term=8926
ZSCAN23	ZSCAN23	zinc finger and SCAN domain containing 23	222696	https://www.ncbi.nlm.nih.gov/gene/?term=222696
MPZL3	MPZL3	myelin protein zero like 3	196264	https://www.ncbi.nlm.nih.gov/gene/?term=196264
CACNA2D1	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	781	https://www.ncbi.nlm.nih.gov/gene/?term=781
IL6ST	IL6ST	interleukin 6 signal transducer	3572	https://www.ncbi.nlm.nih.gov/gene/?term=3572
ADAMTS15	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689	https://www.ncbi.nlm.nih.gov/gene/?term=170689
KCND3	KCND3	potassium voltage-gated channel subfamily D member 3	3752	https://www.ncbi.nlm.nih.gov/gene/?term=3752
NHSL2	NHSL2	NHS like 2	340527	https://www.ncbi.nlm.nih.gov/gene/?term=340527
STOX2	STOX2	storkhead box 2	56977	https://www.ncbi.nlm.nih.gov/gene/?term=56977
PLXNC1	PLXNC1	plexin C1	10154	https://www.ncbi.nlm.nih.gov/gene/?term=10154
PRKG1	PRKG1	protein kinase cGMP-dependent 1	5592	https://www.ncbi.nlm.nih.gov/gene/?term=5592
