userId	geneSymbol	geneName	entrezgene	gLink
TMEM150C	TMEM150C	transmembrane protein 150C	441027	https://www.ncbi.nlm.nih.gov/gene/?term=441027
HS6ST3	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	266722	https://www.ncbi.nlm.nih.gov/gene/?term=266722
TRIM36	TRIM36	tripartite motif containing 36	55521	https://www.ncbi.nlm.nih.gov/gene/?term=55521
PNMT	PNMT	phenylethanolamine N-methyltransferase	5409	https://www.ncbi.nlm.nih.gov/gene/?term=5409
ADRA2C	ADRA2C	adrenoceptor alpha 2C	152	https://www.ncbi.nlm.nih.gov/gene/?term=152
HOTAIR	HOTAIR	HOX transcript antisense RNA	100124700	https://www.ncbi.nlm.nih.gov/gene/?term=100124700
KCNK1	KCNK1	potassium two pore domain channel subfamily K member 1	3775	https://www.ncbi.nlm.nih.gov/gene/?term=3775
HOXC11	HOXC11	homeobox C11	3227	https://www.ncbi.nlm.nih.gov/gene/?term=3227
GDPD3	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	79153	https://www.ncbi.nlm.nih.gov/gene/?term=79153
MSI1	MSI1	musashi RNA binding protein 1	4440	https://www.ncbi.nlm.nih.gov/gene/?term=4440
EDARADD	EDARADD	EDAR associated death domain	128178	https://www.ncbi.nlm.nih.gov/gene/?term=128178
CAPS	CAPS	calcyphosine	828	https://www.ncbi.nlm.nih.gov/gene/?term=828
MT1E	MT1E	metallothionein 1E	4493	https://www.ncbi.nlm.nih.gov/gene/?term=4493
CTSG	CTSG	cathepsin G	1511	https://www.ncbi.nlm.nih.gov/gene/?term=1511
CTNND2	CTNND2	catenin delta 2	1501	https://www.ncbi.nlm.nih.gov/gene/?term=1501
PAX7	PAX7	paired box 7	5081	https://www.ncbi.nlm.nih.gov/gene/?term=5081
FAM3B	FAM3B	family with sequence similarity 3 member B	54097	https://www.ncbi.nlm.nih.gov/gene/?term=54097
CACNG1	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1	786	https://www.ncbi.nlm.nih.gov/gene/?term=786
NETO2	NETO2	neuropilin and tolloid like 2	81831	https://www.ncbi.nlm.nih.gov/gene/?term=81831
C10orf82	C10orf82	chromosome 10 open reading frame 82	143379	https://www.ncbi.nlm.nih.gov/gene/?term=143379
DHRS2	DHRS2	dehydrogenase/reductase 2	10202	https://www.ncbi.nlm.nih.gov/gene/?term=10202
HSPA4L	HSPA4L	heat shock protein family A (Hsp70) member 4 like	22824	https://www.ncbi.nlm.nih.gov/gene/?term=22824
ARX	ARX	aristaless related homeobox	170302	https://www.ncbi.nlm.nih.gov/gene/?term=170302
SHISA9	SHISA9	shisa family member 9	729993	https://www.ncbi.nlm.nih.gov/gene/?term=729993
CACNG6	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6	59285	https://www.ncbi.nlm.nih.gov/gene/?term=59285
HOXC10	HOXC10	homeobox C10	3226	https://www.ncbi.nlm.nih.gov/gene/?term=3226
MT1X	MT1X	metallothionein 1X	4501	https://www.ncbi.nlm.nih.gov/gene/?term=4501
XK	XK	X-linked Kx blood group	7504	https://www.ncbi.nlm.nih.gov/gene/?term=7504
ETNK2	ETNK2	ethanolamine kinase 2	55224	https://www.ncbi.nlm.nih.gov/gene/?term=55224
CAPN5	CAPN5	calpain 5	726	https://www.ncbi.nlm.nih.gov/gene/?term=726
IGDCC3	IGDCC3	immunoglobulin superfamily DCC subclass member 3	9543	https://www.ncbi.nlm.nih.gov/gene/?term=9543
SMAGP	SMAGP	small cell adhesion glycoprotein	57228	https://www.ncbi.nlm.nih.gov/gene/?term=57228
TMEM132A	TMEM132A	transmembrane protein 132A	54972	https://www.ncbi.nlm.nih.gov/gene/?term=54972
PIK3C2G	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	5288	https://www.ncbi.nlm.nih.gov/gene/?term=5288
BEND7	BEND7	BEN domain containing 7	222389	https://www.ncbi.nlm.nih.gov/gene/?term=222389
SLC4A10	SLC4A10	solute carrier family 4 member 10	57282	https://www.ncbi.nlm.nih.gov/gene/?term=57282
MS4A2	MS4A2	membrane spanning 4-domains A2	2206	https://www.ncbi.nlm.nih.gov/gene/?term=2206
SAMD11	SAMD11	sterile alpha motif domain containing 11	148398	https://www.ncbi.nlm.nih.gov/gene/?term=148398
MS4A15	MS4A15	membrane spanning 4-domains A15	219995	https://www.ncbi.nlm.nih.gov/gene/?term=219995
SIX1	SIX1	SIX homeobox 1	6495	https://www.ncbi.nlm.nih.gov/gene/?term=6495
