userId	geneSymbol	geneName	entrezgene	gLink
LRRN4	LRRN4	leucine rich repeat neuronal 4	164312	https://www.ncbi.nlm.nih.gov/gene/?term=164312
SLC34A2	SLC34A2	solute carrier family 34 member 2	10568	https://www.ncbi.nlm.nih.gov/gene/?term=10568
XIST	XIST	X inactive specific transcript	7503	https://www.ncbi.nlm.nih.gov/gene/?term=7503
VTCN1	VTCN1	V-set domain containing T cell activation inhibitor 1	79679	https://www.ncbi.nlm.nih.gov/gene/?term=79679
ST6GALNAC5	ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	81849	https://www.ncbi.nlm.nih.gov/gene/?term=81849
XKR4	XKR4	XK related 4	114786	https://www.ncbi.nlm.nih.gov/gene/?term=114786
UGT2B11	UGT2B11	UDP glucuronosyltransferase family 2 member B11	10720	https://www.ncbi.nlm.nih.gov/gene/?term=10720
MYBPH	MYBPH	myosin binding protein H	4608	https://www.ncbi.nlm.nih.gov/gene/?term=4608
GPR12	GPR12	G protein-coupled receptor 12	2835	https://www.ncbi.nlm.nih.gov/gene/?term=2835
ACMSD	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	https://www.ncbi.nlm.nih.gov/gene/?term=130013
TMPRSS6	TMPRSS6	transmembrane serine protease 6	164656	https://www.ncbi.nlm.nih.gov/gene/?term=164656
WT1	WT1	Wilms tumor 1	7490	https://www.ncbi.nlm.nih.gov/gene/?term=7490
