userId	geneSymbol	geneName	entrezgene	gLink
EPYC	EPYC	epiphycan	1833	https://www.ncbi.nlm.nih.gov/gene/?term=1833
CASP14	CASP14	caspase 14	23581	https://www.ncbi.nlm.nih.gov/gene/?term=23581
MMP13	MMP13	matrix metallopeptidase 13	4322	https://www.ncbi.nlm.nih.gov/gene/?term=4322
VGLL1	VGLL1	vestigial like family member 1	51442	https://www.ncbi.nlm.nih.gov/gene/?term=51442
C6orf15	C6orf15	chromosome 6 open reading frame 15	29113	https://www.ncbi.nlm.nih.gov/gene/?term=29113
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336	https://www.ncbi.nlm.nih.gov/gene/?term=389336
PAEP	PAEP	progestagen associated endometrial protein	5047	https://www.ncbi.nlm.nih.gov/gene/?term=5047
COL10A1	COL10A1	collagen type X alpha 1 chain	1300	https://www.ncbi.nlm.nih.gov/gene/?term=1300
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301	https://www.ncbi.nlm.nih.gov/gene/?term=1301
CLEC3A	CLEC3A	C-type lectin domain family 3 member A	10143	https://www.ncbi.nlm.nih.gov/gene/?term=10143
GRP	GRP	gastrin releasing peptide	2922	https://www.ncbi.nlm.nih.gov/gene/?term=2922
KLK5	KLK5	kallikrein related peptidase 5	25818	https://www.ncbi.nlm.nih.gov/gene/?term=25818
CALML5	CALML5	calmodulin like 5	51806	https://www.ncbi.nlm.nih.gov/gene/?term=51806
SLC24A2	SLC24A2	solute carrier family 24 member 2	25769	https://www.ncbi.nlm.nih.gov/gene/?term=25769
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250	https://www.ncbi.nlm.nih.gov/gene/?term=4250
LHX1	LHX1	LIM homeobox 1	3975	https://www.ncbi.nlm.nih.gov/gene/?term=3975
CCL11	CCL11	C-C motif chemokine ligand 11	6356	https://www.ncbi.nlm.nih.gov/gene/?term=6356
SLURP1	SLURP1	secreted LY6/PLAUR domain containing 1	57152	https://www.ncbi.nlm.nih.gov/gene/?term=57152
S100A7A	S100A7A	S100 calcium binding protein A7A	338324	https://www.ncbi.nlm.nih.gov/gene/?term=338324
IGFL2	IGFL2	IGF like family member 2	147920	https://www.ncbi.nlm.nih.gov/gene/?term=147920
AMTN	AMTN	amelotin	401138	https://www.ncbi.nlm.nih.gov/gene/?term=401138
SERPINB7	SERPINB7	serpin family B member 7	8710	https://www.ncbi.nlm.nih.gov/gene/?term=8710
PGLYRP3	PGLYRP3	peptidoglycan recognition protein 3	114771	https://www.ncbi.nlm.nih.gov/gene/?term=114771
IGFL1	IGFL1	IGF like family member 1	374918	https://www.ncbi.nlm.nih.gov/gene/?term=374918
FAM25A	FAM25A	family with sequence similarity 25 member A	643161	https://www.ncbi.nlm.nih.gov/gene/?term=643161
SSX1	SSX1	SSX family member 1	6756	https://www.ncbi.nlm.nih.gov/gene/?term=6756
ADIPOQ	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370	https://www.ncbi.nlm.nih.gov/gene/?term=9370
SLC35D3	SLC35D3	solute carrier family 35 member D3	340146	https://www.ncbi.nlm.nih.gov/gene/?term=340146
IBSP	IBSP	integrin binding sialoprotein	3381	https://www.ncbi.nlm.nih.gov/gene/?term=3381
LRRC15	LRRC15	leucine rich repeat containing 15	131578	https://www.ncbi.nlm.nih.gov/gene/?term=131578
C11orf86	C11orf86	chromosome 11 open reading frame 86	254439	https://www.ncbi.nlm.nih.gov/gene/?term=254439
CRCT1	CRCT1	cysteine rich C-terminal 1	54544	https://www.ncbi.nlm.nih.gov/gene/?term=54544
COMP	COMP	cartilage oligomeric matrix protein	1311	https://www.ncbi.nlm.nih.gov/gene/?term=1311
DMBX1	DMBX1	diencephalon/mesencephalon homeobox 1	127343	https://www.ncbi.nlm.nih.gov/gene/?term=127343
KLK8	KLK8	kallikrein related peptidase 8	11202	https://www.ncbi.nlm.nih.gov/gene/?term=11202
SLC18A3	SLC18A3	solute carrier family 18 member A3	6572	https://www.ncbi.nlm.nih.gov/gene/?term=6572
ALPP	ALPP	alkaline phosphatase, placental	250	https://www.ncbi.nlm.nih.gov/gene/?term=250
LEMD1	LEMD1	LEM domain containing 1	93273	https://www.ncbi.nlm.nih.gov/gene/?term=93273
KLK6	KLK6	kallikrein related peptidase 6	5653	https://www.ncbi.nlm.nih.gov/gene/?term=5653
MUC21	MUC21	mucin 21, cell surface associated	394263	https://www.ncbi.nlm.nih.gov/gene/?term=394263
KCNA1	KCNA1	potassium voltage-gated channel subfamily A member 1	3736	https://www.ncbi.nlm.nih.gov/gene/?term=3736
KLK4	KLK4	kallikrein related peptidase 4	9622	https://www.ncbi.nlm.nih.gov/gene/?term=9622
MUC16	MUC16	mucin 16, cell surface associated	94025	https://www.ncbi.nlm.nih.gov/gene/?term=94025
CYP4F8	CYP4F8	cytochrome P450 family 4 subfamily F member 8	11283	https://www.ncbi.nlm.nih.gov/gene/?term=11283
SCEL	SCEL	sciellin	8796	https://www.ncbi.nlm.nih.gov/gene/?term=8796
ROS1	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	6098	https://www.ncbi.nlm.nih.gov/gene/?term=6098
CCL7	CCL7	C-C motif chemokine ligand 7	6354	https://www.ncbi.nlm.nih.gov/gene/?term=6354
SLC6A14	SLC6A14	solute carrier family 6 member 14	11254	https://www.ncbi.nlm.nih.gov/gene/?term=11254
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633	https://www.ncbi.nlm.nih.gov/gene/?term=388633
CXCL17	CXCL17	C-X-C motif chemokine ligand 17	284340	https://www.ncbi.nlm.nih.gov/gene/?term=284340
KLK7	KLK7	kallikrein related peptidase 7	5650	https://www.ncbi.nlm.nih.gov/gene/?term=5650
ARHGEF38	ARHGEF38	Rho guanine nucleotide exchange factor 38	54848	https://www.ncbi.nlm.nih.gov/gene/?term=54848
KLK9	KLK9	kallikrein related peptidase 9	284366	https://www.ncbi.nlm.nih.gov/gene/?term=284366
MMP3	MMP3	matrix metallopeptidase 3	4314	https://www.ncbi.nlm.nih.gov/gene/?term=4314
MMP8	MMP8	matrix metallopeptidase 8	4317	https://www.ncbi.nlm.nih.gov/gene/?term=4317
SPRR1B	SPRR1B	small proline rich protein 1B	6699	https://www.ncbi.nlm.nih.gov/gene/?term=6699
CXorf49B	CXorf49B	chromosome X open reading frame 49B	100132994	https://www.ncbi.nlm.nih.gov/gene/?term=100132994
IVL	IVL	involucrin	3713	https://www.ncbi.nlm.nih.gov/gene/?term=3713
SLITRK3	SLITRK3	SLIT and NTRK like family member 3	22865	https://www.ncbi.nlm.nih.gov/gene/?term=22865
NETO1	NETO1	neuropilin and tolloid like 1	81832	https://www.ncbi.nlm.nih.gov/gene/?term=81832
CST4	CST4	cystatin S	1472	https://www.ncbi.nlm.nih.gov/gene/?term=1472
KRT75	KRT75	keratin 75	9119	https://www.ncbi.nlm.nih.gov/gene/?term=9119
C1QL2	C1QL2	complement C1q like 2	165257	https://www.ncbi.nlm.nih.gov/gene/?term=165257
RAET1L	RAET1L	retinoic acid early transcript 1L	154064	https://www.ncbi.nlm.nih.gov/gene/?term=154064
PTPRN	PTPRN	protein tyrosine phosphatase, receptor type N	5798	https://www.ncbi.nlm.nih.gov/gene/?term=5798
CST2	CST2	cystatin SA	1470	https://www.ncbi.nlm.nih.gov/gene/?term=1470
TBX5	TBX5	T-box 5	6910	https://www.ncbi.nlm.nih.gov/gene/?term=6910
UCA1	UCA1	urothelial cancer associated 1	652995	https://www.ncbi.nlm.nih.gov/gene/?term=652995
